name,id,start_time,duration_time
Oui,IRgxwlFahK4,,
Bonjour,OrorTGDvdNQ,,
Non,uF9MvYaEU1k,,
Ça va,V7KM2UnfU2I,,
S'il vous plaît,AYJoQCgUHvw,,
Bonjour,rz3jw0_XXoc,00:00:02,00:00:02
Oui,rz3jw0_XXoc,00:00:22,00:00:03
S'il vous plaît,rz3jw0_XXoc,00:00:33,00:00:03
Ça va,rz3jw0_XXoc,00:00:19,00:00:03
Non,rz3jw0_XXoc,00:00:25,00:00:02
Bonjour,zPOgFI6t1p0,00:00:01,00:00:01.200
Ça va,zPOgFI6t1p0,00:00:03,00:00:02
Oui,zPOgFI6t1p0,00:00:05,00:00:02
Non,zPOgFI6t1p0,00:00:07,00:00:02
Bonjour,irWEaNF6kmo,00:00:01,00:00:03
Ça va,irWEaNF6kmo,00:00:04,00:00:03
